x,y,z,inflammatory_signal,ecm
-490,-710,0,0,10
-470,-710,0,0,10
-450,-710,0,0,10
-430,-710,0,0,10
-410,-710,0,0,10
-390,-710,0,0,10
-370,-710,0,0,10
-350,-710,0,0,10
-330,-710,0,0,10
-310,-710,0,0,10
-290,-710,0,0,10
-270,-710,0,0,10
-250,-710,0,0,10
-230,-710,0,0,10
-210,-710,0,0,10
-190,-710,0,0,10
-170,-710,0,0,10
-150,-710,0,0,10
-130,-710,0,0,10
-110,-710,0,0,10
-90,-710,0,0,10
-70,-710,0,0,10
-50,-710,0,0,10
-30,-710,0,0,10
-10,-710,0,0,10
10,-710,0,0,10
30,-710,0,0,10
50,-710,0,0,10
70,-710,0,0,10
90,-710,0,0,10
110,-710,0,0,10
130,-710,0,0,10
150,-710,0,0,10
170,-710,0,0,10
190,-710,0,0,10
210,-710,0,0,10
230,-710,0,0,10
250,-710,0,0,10
270,-710,0,0,10
290,-710,0,0,10
310,-710,0,0,10
330,-710,0,0,10
350,-710,0,0,10
370,-710,0,0,10
390,-710,0,0,10
410,-710,0,0,10
430,-710,0,0,10
450,-710,0,0,10
470,-710,0,0,10
490,-710,0,0,10
510,-710,0,0,10
530,-710,0,0,10
550,-710,0,0,10
570,-710,0,0,10
590,-710,0,0,10
610,-710,0,0,10
630,-710,0,0,10
650,-710,0,0,10
670,-710,0,0,10
690,-710,0,0,10
710,-710,0,0,10
730,-710,0,0,10
750,-710,0,0,10
770,-710,0,0,10
790,-710,0,0,10
-790,-690,0,0,10
-770,-690,0,0,10
-750,-690,0,0,10
-730,-690,0,0,10
-710,-690,0,0,10
-690,-690,0,0,10
-670,-690,0,0,10
-650,-690,0,0,10
-630,-690,0,0,10
-610,-690,0,0,10
-590,-690,0,0,10
-570,-690,0,0,10
-550,-690,0,0,10
-530,-690,0,0,10
-510,-690,0,0,10
-490,-690,0,0,10
-470,-690,0,0,10
-450,-690,0,0,10
-430,-690,0,0,10
-410,-690,0,0,10
-390,-690,0,0,10
-370,-690,0,0,10
-350,-690,0,0,10
-330,-690,0,0,10
-310,-690,0,0,10
-290,-690,0,0,10
-270,-690,0,0,10
-250,-690,0,0,10
-230,-690,0,0,10
-210,-690,0,0,10
-190,-690,0,0,10
-170,-690,0,0,10
-150,-690,0,0,10
-130,-690,0,0,10
-110,-690,0,0,10
-90,-690,0,0,10
-70,-690,0,0,10
-50,-690,0,0,10
-30,-690,0,0,10
-10,-690,0,0,10
10,-690,0,0,10
30,-690,0,0,10
50,-690,0,0,10
70,-690,0,0,10
90,-690,0,0,10
110,-690,0,0,10
130,-690,0,0,10
150,-690,0,0,10
170,-690,0,0,10
190,-690,0,0,10
210,-690,0,0,10
230,-690,0,0,10
250,-690,0,0,10
270,-690,0,0,10
290,-690,0,0,10
310,-690,0,0,10
330,-690,0,0,10
350,-690,0,0,10
370,-690,0,0,10
390,-690,0,0,10
410,-690,0,0,10
430,-690,0,0,10
450,-690,0,0,10
470,-690,0,0,10
490,-690,0,0,10
510,-690,0,0,10
530,-690,0,0,10
550,-690,0,0,10
570,-690,0,0,10
590,-690,0,0,10
610,-690,0,0,10
630,-690,0,0,10
650,-690,0,0,10
670,-690,0,0,10
690,-690,0,0,10
710,-690,0,0,10
730,-690,0,0,10
750,-690,0,0,10
770,-690,0,0,10
790,-690,0,0,10
-790,-670,0,0,10
-770,-670,0,0,10
-750,-670,0,0,10
-730,-670,0,0,10
-710,-670,0,0,10
-690,-670,0,0,10
-670,-670,0,0,10
-650,-670,0,0,10
-630,-670,0,0,10
-610,-670,0,0,10
-590,-670,0,0,10
-570,-670,0,0,10
-550,-670,0,0,10
-530,-670,0,0,10
-510,-670,0,0,10
-490,-670,0,0,10
-470,-670,0,0,10
-450,-670,0,0,10
-430,-670,0,0,10
-410,-670,0,0,10
-390,-670,0,0,10
-370,-670,0,0,10
-350,-670,0,0,10
-330,-670,0,0,10
-310,-670,0,0,10
-290,-670,0,0,10
-270,-670,0,0,10
-250,-670,0,0,10
-230,-670,0,0,10
-210,-670,0,0,10
-190,-670,0,0,10
-170,-670,0,0,10
-150,-670,0,0,10
-130,-670,0,0,10
-110,-670,0,0,10
-90,-670,0,0,10
-70,-670,0,0,10
-50,-670,0,0,10
-30,-670,0,0,10
-10,-670,0,0,10
10,-670,0,0,10
30,-670,0,0,10
50,-670,0,0,10
70,-670,0,0,10
