0: 2023
515: 390,987,1969,1992,512,1815,1774,156
516: 362,1709,189,1125,1984,1908
517: 1289,392,1552,1457,424,1857,1422,783,720,116,1048
518: 1762,1057,1163,1269,1692,663,1105,1555,1450
519: 35,1034,1976,650,1479,1574,871,1307
520: 457,1612,1752,555,957,1096,1975
521: 1438,995,1507,902,381,664
522: 1441,544,675,1430,267,1951,327,492
523: 1076,1460,1153,713,38,1580,1257,1739
524: 289,369,1242,153,1496,419,482,946
525: 1536,1078,1213,1911,1903,279
526: 632,1973,732,429,1316
527: 1310,1897,920,781,1893,11,1089,1417,317
528: 1682,1731,1888,137,853,250,98,1666
529: 1281,1748,1060,1170,1712,960,143
530: 1080,1714,1905,660,166,1550,700,1628
531: 335,982,1912,1052,777,447
532: 303,1828,65,661,1005,1873
533: 12,38,688,1580,168,1856,1610,1926,397,1602,260,1901,903
534: 574,491,1427,827,80,1087,441,1792
535: 829,328,1302,1953,1160,581,616
536: 1004,25,1542,577,477,1690,1098
537: 491,441,1792,1383,588,850,418,1649,1214
538: 979,565,1274,1967,652,824,1154
539: 1600,39,1322,779,1074,585,622
540: 82,1569,1794,159,1662,1287,1031
541: 129,1934,400,997,731,1916,579
542: 786,1012,79,1093,1788,259,1707
543: 1323,1121,887,877,464,110,952,497
544: 1441,1199,522,487,449,327,1977
545: 343,847,1366,279,815,1765,1963,1406
546: 429,1316,76,511,1165,721,359
547: 770,110,1875,952,682,1121,575,1854,1761,1461
548: 826,1575,1166,1674,1516,1107,128,231
549: 307,287,185,994,693,1753,769,1147
550: 1534,1871,174,1215,288,958
551: 1106,1652,471,921,824,1154,979,93
552: 366,1113,99,1164,323,297,1710,1726,1829,299
553: 845,1396,1001,242,276,1010,612
554: 298,1841,861,2007,1437,1184,1333
555: 1024,1752,1344,573,261,520,457,1612
556: 1647,1737,1772,646,1332,738,707
557: 385,1983,931,1623,1269,148
558: 1687,891,1843,1265,1349,1772,1392,83,606
559: 353,1785,344,1530,1042,1671
560: 1785,344,283,1852,462,945
561: 614,750,1226,320,1196,1279,1169,1151
562: 141,955,1636,876,1271,1033,195,1890,506,501
563: 251,1465,591,461,237
564: 111,212,494,1440,748,817
565: 538,1274,1505,258,1967
566: 1102,744,1394,778,908,1347,326,639,1494,226
567: 667,51,1251,1942,428,1337,862
568: 1209,1864,158,1528,1385,1305,1770
569: 980,1729,620,1373
570: 671,629,1432,1868,1471,859,1933
571: 437,1453,1268,669
2000: 649,1749,1046,1134,835,1387,453,696,147
573: 1188,1148,1344,197,1207,255,1924,457,1612,555
574: 986,534,491,80,1087,1792,1239
575: 953,1325,1854,1761,1461,547,952
576: 851,59,992,117,951,133
577: 1538,477,1691,172,1690,536
578: 41,1863,1968,686,1902,750,320
579: 1783,803,731,636,1934,541
580: 1035,1016,16,426,648,1354,1812,1323
581: 1160,1123,829,1302,535,616,1971
582: 917,1872,1976,138,650,325,1084,1413
583: 1470,1520,1946,316,306,836,109
584: 1355,1958,1851,330,1164,421,1263
585: 1074,638,1390,1046,2021,1322,779,539,1600
